Job Title,Job Description,Skills,Certifications
Lead User Experience (UX) Researcher,"The Lead UX Researcher heads the user research team, setting the strategic direction for user studies and insights dissemination. With an expert grasp of both qualitative and quantitative research methodologies, this role oversees the development of research protocols that align with the agile development process, ensuring that user insights are translated into actionable design and strategy initiatives. As a mentor to UX Researchers, the Lead UX Researcher fosters a culture of deep user empathy and continuous learning, empowering their team to produce nuanced user journey maps and mental models that profoundly influence the user experience across all product touchpoints. The Lead UX Researcher oversees user research activities with an ethical, human-centric approach. Protocols are crafted and aligned to agile workflows, upholding strict guidelines for voluntary consent, privacy, and transparent data usage at every step. As a steward of user trust, this expert champions dignity, diversity, and inclusion throughout screening, recruitment, and engagement touchpoints. The Lead UX Researcher ensures that the insights-driven research framework integrates seamlessly with the holistic user experience strategy, as conceived by the Director of User Experience, to inform and shape product direction and user-centered design decisions.","Behavioral Economics in Design Level 5; Critical Thinking Level 4-5; Cultural Sensitivity for Design Level 5; Customer Behavior Analysis Level 5; Data Analysis and Interpretation Level 5; Digital and Physical Prototyping Level 4; Empathetic Design Level 5; Innovation Management Level 5; Interaction Design Practice Level 4; Narrative Design in Product Development Level 5; Qualitative Research Level 5; Quality Standards Level 4; Quantitative Research Level 5; Research and Development Level 5; Strategy Planning Level 4; Training, Coaching and Assessment Management Level 4; User Testing and Usability Testing Level 5; Adaptability Advanced; Building Inclusivity Intermediate; Collaboration Advanced; Communication Advanced; Creative Thinking Advanced; Customer Orientation Advanced; Decision Making Advanced; Developing People Advanced; Digital Fluency Advanced; Influence Advanced; Learning Agility Advanced; Problem Solving Advanced; Sense Making Advanced; Transdisciplinary Thinking Advanced",
User Experience (UX) Designer Associate,"The UX Designer Associate is an entry-level role responsible for supporting the user experience team across various functions. This role provides a foundation in UX design, research, writing, and usability testing, positioning the individual for potential growth into specialized roles such as UX Designer, UX Writer, UX Usability Tester, or Interaction Designer. The UX Designer Associate collaborates with cross-functional teams, including UI Designers, to ensure a cohesive user experience. This role is characterized by a strong emphasis on understanding user needs, developing basic interaction design skills, and collaborating effectively with cross-functional teams. The UX Designer Associate entails understanding diverse customer profiles, mapping out associated processes and touchpoints, and applying Customer Experience (CX) principles such as identifying moments of truth and pain points throughout the analysis.",Aesthetic and Design Sensibility Level 3; Business Presentation Delivery Level 3; Creative Storytelling Level 3; Critical Thinking Level 3; Cultural Sensitivity for Design Level 3; Customer Behavior Analysis Level 4; Customisation and Localisation Level 3; Data Analysis and Interpretation Level 2; Design Standards and Specification Level 4; Design Thinking Practice Level 4; Digital and Physical Prototyping Level 4; Empathetic Design Level 3; Immersive Design Level 4; Interaction Design Practice Level 4; Learning and Development Level 4; Project Management Level 3; Quality Assurance Level 3; Research Level 3; Stakeholder Management Level 2; Systems Design Level 4; User Experience Design Level 3-4; User Interface (UI) Design Level 3; User Testing and Usability Testing Level 3; Visual Design and Communication Principles Level 4; Adaptability Intermediate; Collaboration Intermediate; Communication Intermediate; Creative Thinking Intermediate; Customer Orientation Basic; Digital Fluency Basic; Learning Agility Intermediate; Problem Solving Intermediate; Self Management Intermediate; Sense Making Intermediate; Transdisciplinary Thinking Intermediate,
Interaction Designer,"The Interaction Designer specializes in creating engaging interfaces with well-thought-out behaviors. Understanding user needs and behaviors is crucial for this role, and it requires an empathetic and intuitive approach to design. The Interaction Designer focuses on the interactive aspects of a product, ensuring a seamless and intuitive user experience. Collaborating cross-functionally, the Interaction Designer contributes to the construction of customer journey maps to identify opportunities to remove barriers and inject delight across key moments of truth. Rapid ideations are produced to explore ideas focused on addressing pain points through better-integrated flows. Customer experience (CX) considerations remain central to translating complexity into simplistic human-centered interactions. The Interaction Designer is at the forefront of crafting engaging user interfaces across various digital mediums, not limited to the purely visual, but potentially also including interfaces such as conversational, audio, haptic feedback, Augmented Reality (AR), Virtual Reality (VR), and eXtended Reality (XR). This role demands an innovative approach to human-computer interaction, focusing on creating intuitive and immersive experiences. The Interaction Designer collaborates closely with UX Researchers and UI Designers, ensuring that each interactive element is grounded in user insights and seamlessly integrated into the overall design.",Aesthetic and Design Sensibility Level 4; Business Presentation Delivery Level 4; Creative Storytelling Level 4; Critical Thinking Level 4; Cultural Sensitivity for Design Level 4; Customer Behavior Analysis Level 4; Customisation and Localisation Level 4; Data Analysis and Interpretation Level 3; Design Standards and Specification Level 5; Design Thinking Practice Level 5; Digital and Physical Prototyping Level 5; Empathetic Design Level 4; Immersive Design Level 5; Innovation Management Level 5; Interaction Design Practice Level 5; Learning and Development Level 4; Project Management Level 3-4; Quality Assurance Level 4; Research Level 4; Stakeholder Management Level 4; Systems Design Level 5; User Experience Design Level 4-5; User Interface (UI) Design Level 4-5; User Testing and Usability Testing Level 4; Visual Design and Communication Principles Level 5; Adaptability Advanced; Collaboration Advanced; Communication Advanced; Creative Thinking Advanced; Customer Orientation Intermediate; Decision Making Intermediate; Digital Fluency Intermediate; Global Perspective Intermediate; Learning Agility Intermediate; Problem-Solving Advanced; Self Management Intermediate; Transdisciplinary Thinking Advanced,
User Experience (UX) Designer,"The User Experience (UX) Designer is integral to the design and development of digital products, focusing on crafting a cohesive and engaging user experience. Unique in their role, UX Designers combine creative vision with a deep understanding of user needs, shaping the visual narrative and functional flow of the product. They excel in transforming research insights, provided by UX Researchers, into compelling design elements, ensuring that every aspect of the user interface is intuitive and resonates with the target audience. Key to their role is their expertise in user journey mapping, where they visualize and refine the end-to-end experience of users, considering every touchpoint within the product. Unlike Interaction Designers, who concentrate on the specifics of user-product interaction, UX Designers take a broader view, integrating these interactive elements into a seamless and holistic user experience. Their collaboration with UX Writers ensures that visual design and content harmoniously guide the user, while their work complements UX Usability Testers by preemptively addressing design elements that enhance usability and appeal. The UX Designer acts as an orchestrator of the user experience, balancing aesthetic appeal with functional design. They bridge the gap between the analytical world of user research and the creative realm of visual design, crafting experiences that are not only visually striking but also deeply aligned with user expectations and behaviors.",Aesthetic and Design Sensibility Level 4; Business Presentation Delivery Level 4; Creative Storytelling Level 4; Critical Thinking Level 4; Cultural Sensitivity for Design Level 4; Customer Behavior Analysis Level 4; Customisation and Localisation Level 4; Data Analysis and Interpretation Level 3; Design Standards and Specification Level 5; Design Thinking Practice Level 5; Digital and Physical Prototyping Level 5; Empathetic Design Level 4; Immersive Design Level 5; Interaction Design Practice Level 5; Learning and Development Level 4; Project Management Level 3-4; Quality Assurance Level 4; Research Level 4; Stakeholder Management Level 3; Systems Design Level 5; User Experience Design Level 5; User Interface (UI) Design Level 4; User Testing and Usability Testing Level 4; Visual Design and Communication Principles Level 5; Adaptability Advanced; Collaboration Intermediate; Communication Advanced; Creative Thinking Advanced; Customer Orientation Basic; Decision Making Intermediate; Digital Fluency Intermediate; Learning Agility Intermediate; Problem Solving Advanced; Self Management Intermediate; Transdisciplinary Thinking Advanced,
Lead User Experience (UX) Designer,"The Lead User Experience (UX) Designer holds a pivotal position in shaping and guiding the overall user experience strategy for digital products. With a strong foundation in both UX principles and interaction design, the Lead UX Designer ensures that design deliverables are user-focused, innovative, and aligned with agile development processes. This role involves leading a team of UX Designers and Interaction Designers, translating user research insights into innovative design solutions that balance aesthetics, functionality, and user needs. Collaborating closely with UX Researchers, the Lead UX Designer assimilates user insights, behavior data, and feedback. Customer journey context from Customer Experience (CX) Design partners helps prioritize experience enhancements for the most impacted moments of truth. As a design leader, the Lead UX Designer coaches team members provides constructive feedback, and propagates best practices. Quality standards alignment as well as team education on emerging methodologies/tools are upheld. With an eye toward continuous experience optimization, the Lead UX Designer champions the user’s voice while delivering design systems that scale. The Lead UX Designer also aligns their team’s efforts with the broader experience strategy set by the Director of User Experience, ensuring that design decisions are strategically integrated into the product development process and reflect the organization’s vision and user goals.","Aesthetic and Design Sensibility Level 5; Business Presentation Delivery Level 5; Creative Storytelling Level 5; Critical Thinking Level 5; Cultural Sensitivity for Design Level 5; Customer Behavior Analysis Level 5; Customisation and Localisation Level 4-5; Data Analysis and Interpretation Level 4; Design Standards and Specifications Level 5; Design Thinking Practice Level 6; Digital and Physical Prototyping Level 5; Empathetic Design Level 5; Immersive Design Level 5; Innovation Management Level 5; Interaction Design Practice Level 5; Learning and Development Level 5; Project Management Level 4-5; Quality Assurance Level 5; Quality Standards Level 4; Research Level 4-5; Stakeholder Management Level 3; Systems Design Level 6; Training, Coaching, and Assessment Management Level 4; User Experience Design Level 5; User Interface (UI) Design Level 4; User Testing and Usability Testing Level 5; Visual Design and Communication Principles Level 5; Adaptability Advanced; Collaboration Advanced; Communication Advanced; Creative Thinking Advanced; Customer Orientation Advanced; Decision Making Advanced; Developing People Advanced; Digital Fluency Advanced; Influence Advanced; Learning Agility Advanced; Problem Solving Advanced; Self Management Advanced; Transdisciplinary Thinking Advanced",
User Experience (UX) Writer,"The UX Writer is a specialized role focusing on crafting clear, concise, and engaging text within digital products. This role is pivotal in enhancing the user experience through language, ensuring clarity, consistency, and accessibility. UX Writers play a crucial role in shaping the tone and personality of the product, creating an emotional connection with users. The UX Writer plays a pivotal role in enhancing the digital customer experience journey through clear, concise, and engaging text built upon the voice needs of users. With a deep understanding of CX best practices, user testing results, and analytics data, empathetic language is crafted to resonate with customer milestones, emotions, and motivations. They work closely with designers, researchers, developers, and brand managers throughout the design process to ensure that the textual content aligns with user needs, business goals, and the overall design vision. Using effective writing, the UX Writer improves user navigation, engagement, and understanding, making digital products more intuitive and user-friendly. The UX Writer promotes accessibility, diversity, and inclusion by crafting content suited for different cultures, abilities, and learning styles. Through tailored language and tone, the writing resonates across many user groups and their customer journey needs. For both localization and personalization efforts, the UX Writer carefully assembles text to meaningfully engage each user.",Behavioral Economics in Design Level 3; Content Development and Strategy Level 5; Content Writing and Editing Level 4; Continuous Learning and Professional Development Level 4; Critical Thinking Level 4; Cultural Sensitivity for Design Level 5; Customer Behavior Analysis Level 5; Customisation and Localisation Level 4; Data Analysis and Interpretation Level 5; Digital and Physical Prototyping Level 3; Empathetic Design Level 3; Innovation Management Level 3; Interaction Design Practice Level 4; Narrative Design in Product Development Level 4; Qualitative Research Level 5; Quantitative Research Level 5; Research and Development Level 4; Visual Design and Communication Principles Level 3; Adaptability Intermediate; Collaboration Intermediate; Communication Intermediate; Creative Thinking Intermediate; Customer Orientation Advanced; Digital Fluency Intermediate; Learning Agility Advanced; Problem Solving Advanced; Self Management Advanced; Sense Making Intermediate; Transdisciplinary Thinking Intermediate,
Lead User Experience (UX) Writer,"The Lead User Experience (UX) Writer plays a pivotal role in software development organizations by crafting compelling and user-centric content across digital interfaces. They lead a team of UX Writers, weaving language into the user experience in collaboration with UX Researchers, Designers, and Usability Testers. This collaboration ensures that content is not only user-friendly but also contributes to the overall usability of the product. They champion the importance of language in design, ensuring that content strategy is a core aspect of the product development process. Responsibilities include developing tone and voice guidelines, creating user personas, and mapping user journeys to tailor content accordingly. The Lead UX Writer is responsible for maintaining consistency in messaging, ensuring clarity and coherence in communication, and adhering to brand guidelines. Additionally, this role involves conducting content audits, optimizing content for search engines, and continuously iterating based on user feedback and usability testing results. Strong leadership skills are essential, as the Lead UX Writer guides and mentors junior writers, fosters a culture of collaboration, and advocates for the importance of user-centered content within the organization. The Lead UX Writer aligns their team’s work with the broad user experience strategy defined by the Director of User Experience, crafting narratives that resonate across all platforms and enhance user engagement.","Behavioral Economics in Design Level 3; Content Development and Strategy Level 6; Content Writing and Editing Level 5; Critical Thinking Level 5; Cultural Sensitivity for Design Level 5; Customer Behavior Analysis Level 5; Customisation and Localisation Level 5; Data Analysis and Interpretation Level 5; Digital and Physical Prototyping Level 3-4; Empathetic Design Level 4; Innovation Management Level 3-4; Interaction Design Practice Level 4-5; Narrative Design in Product Development Level 5; Qualitative Research Level 5; Quality Standards Level 4; Quantitative Research Level 5; Research and Development Level 4; Training, Coaching and Assessment Management Level 4; Visual Design and Communication Principles Level 3; Adaptability Advanced; Collaboration Advanced; Communication Advanced; Creative Thinking Advanced; Customer Orientation Advanced; Decision Making Advanced; Developing People Advanced; Digital Fluency Advanced; Influence Advanced; Learning Agility Advanced; Problem Solving Advanced; Self Management Advanced; Transdisciplinary Thinking Advanced",
User Experience (UX) Usability Tester,"The User Experience (UX) Usability Tester in an agile team is essential for ensuring the product’s user experience quality through systematic usability testing and feedback. This role expertly adapts traditional usability methods to the agile development cycle, conducting rapid tests that complement the iterative nature of agile sprints. Collaborating closely with developers, designers, UX Researchers, the Customer Experience (CX) team, and product managers, the Usability Tester integrates usability considerations and research insights into the development process from the outset. They contribute to designing storyboards and low-fidelity prototypes, ensuring a cohesive user experience that is informed by both empirical data and usability findings. Adopting a parallel track approach, the Usability Tester ensures that user experience work, including foundational user research, is integrated seamlessly into the development cycle. This method keeps usability considerations one step ahead of implementation. In this agile environment, the Usability Tester is crucial in bridging usability and development, maintaining user-centric design as a core focus throughout the product’s lifecycle.",Aesthetic and Design Sensibility Level 4; Agile Software Development Level 3; Business Presentation Delivery Level 4; Creative Storytelling Level 4; Critical Thinking Level 4; Cultural Sensitivity for Design Level 4; Customer Behavior Analysis Level 4; Customisation and Localisation Level 3; Data Analysis and Interpretation Level 4; Design Standards and Specification Level 5; Design Thinking Practice Level 5; Digital and Physical Prototyping Level 5; Empathetic Design Level 4; Immersive Design Level 5; Innovation Management Level 5; Adaptability Intermediate; Collaboration Intermediate; Communication Intermediate; Creative Thinking Intermediate; Customer Orientation Advanced; Digital Fluency Intermediate; Learning Agility Advanced; Problem Solving Advanced; Self Management Advanced; Sense Making Intermediate; Transdisciplinary Thinking Intermediate,
Lead User Experience (UX) Usability Tester,"The Lead UX Usability Tester spearheads the entire process of testing digital products and solutions to provide optimal user experience. With deep expertise in mapping test plans to overall customer experience (CX) priorities and emerging needs, this role sets the vision for high-impact usability practices. The role involves overseeing a team of Usability Testers, strategizing and executing comprehensive testing plans that align with agile development cycles. The Lead UX Usability Tester collaborates closely with UX Researchers and the CX team to integrate user insights into testing, and with UX Designers and Writers to ensure usability considerations are reflected in all design aspects. They champion the importance of usability testing in product development and align their team’s efforts with the overarching user experience strategy set by the Director of User Experience, ensuring that user- centricity remains a focal point in all phases of product development. The Lead UX Usability Tester will ideate clever ways to better understand what works well or fails from the user’s point of view during their journey within a digital product. Testing is crafted to focus on the most important interactions and touchpoints that make using the product frustrating or delightful.","Aesthetic and Design Sensibility Level 5; Agile Software Development Level 3-4; Business Presentation Delivery Level 5; Creative Storytelling Level 5; Critical Thinking Level 5; Cultural Sensitivity for Design Level 5; Customer Behavior Analysis Level 5; Customisation and Localisation Level 4; Data Analysis and Interpretation Level 5; Design Standards and Specification Level 5; Design Thinking Practice Level 6; Digital and Physical Prototyping Level 5; Empathetic Design Level 5; Immersive Design Level 5; Innovation Management Level 5; Interaction Design Practice Level 5; Learning and Development Level 5; Project Management Level 4-5; Quality Assurance Level 4-5; Quality Standards Level 4; Training, Coaching and Assessment Management Level 4; User Experience Design Level 5; User Interface (UI) Design Level 4; User Interface and User Experience (UI/UX) Optimisation Level 5; User Testing and Usability Testing Level 5; Visual Design and Communication Principles Level 5; Behavioral Economics in Design Level 5; Content Development and Strategy Level 6; Content Writing and Editing Level 5; Customisation and Localisation Level 4-5; Narrative Design in Product Development Level 4-5; Product Design and Development Level 5; Qualitative Research Level 5; Quantitative Research Level 5; Research Level 4-5; Research and Development Level 5; Stakeholder Management Level 4; Strategy Planning Level 4; Systems Design Level 5; User Interface (UI) Design Level 5; Adaptability Advanced; Collaboration Advanced; Communication Advanced; Creative Thinking Advanced; Customer Orientation Advanced; Decision Making Advanced; Developing People Advanced; Digital Fluency Advanced; Influence Advanced; Learning Agility Advanced; Problem Solving Advanced; Self Management Advanced; Transdisciplinary Thinking Advanced; Building Inclusivity Advanced; Sense Making Advanced",
Director of User Experience,"The Director of User Experience (UX) holds a visionary role, leading the strategic direction and execution of user experience across all platforms and products, encompassing both UX and UI disciplines. They drive initiatives that foster innovation, user engagement, and design excellence, shaping the user experience strategy. Additionally, they mentor team leads across UX Research, UX Writing, UX Usability Testing, and UI Design, ensuring a cohesive approach to design, content, and testing. This role aligns the efforts of all UX/ UI teams with the company’s broader business objectives, integrating research, interaction design, visual design, content strategy, and usability testing to deliver products that meet user needs while embodying the brand’s ethos and enhancing overall user interaction with digital products. Moreover, the Director of User Experience is expected to have an excellent understanding of customer experience (CX) or customer journeys and be able to translate them into visuals or workflows. Leading a multidisciplinary team of UX designers, researchers, writers, and usability testers, the Director collaborates closely with product managers, engineers, and other stakeholders to ensure alignment of UX initiatives with business goals. Responsibilities include overseeing the entire UX design process, from user research and concept ideation to prototyping and testing, while establishing and maintaining UX design standards for consistency and coherence across all touchpoints. The Director of UX stays abreast of industry trends, emerging technologies, and best practices in UX design. They are expected to drive innovation and continuous improvement. In advocating for user-centric design principles, fostering a culture of creativity and collaboration, and championing the importance of UX within the organization, they should exhibit Strong leadership, communication, and strategic planning skills.","Aesthetic and Design Sensibility Level 5; Agile Software Development Level 6; Behavioral Economics in Design Level 5; Business Presentation Delivery Level 5; Content Development and Strategy Level 6; Content Writing and Editing Level 5; Creative Storytelling Level 5; Critical Thinking Level 5; Cultural Sensitivity for Design Level 5; Customer Behavior Analysis Level 5; Customisation and Localisation Level 4-5; Data Analysis and Interpretation Level 5; Design Standards and Specification Level 5; Design Thinking Practice Level 6; Digital and Physical Prototyping Level 5; Empathetic Design Level 5; Immersive Design Level 5; Industry Knowledge, Research and Analysis Level 5-6; Innovation Management Level 5; Interaction Design Practice Level 5; Learning and Development Level 6; Market Research Level 4-5; Market Trend Analysis Level 4-5; Narrative Design in Product Development Level 4-5; Product Design and Development Level 5; Project Management Level 5; Qualitative Research Level 5; Quality Assurance Level 5; Quality Standards Level 5-6; Quantitative Research Level 5; Research Level 5; Research and Development Level 5; Stakeholder Management Level 5-6; Strategy Planning Level 5; Systems Design Level 5-6; Training, Coaching and Assessment Management Level 4-5; User Experience Design Level 5; User Interface (UI) Design Level 5; User Interface and User Experience (UI/UX) Optimisation Level 5; User Testing and Usability Testing Level 5; Visual Design and Communication Principles Level 5; Adaptability Advanced; Building Inclusivity Advanced; Communication Advanced; Creative Thinking Advanced; Customer Orientation Advanced; Decision Making Advanced; Developing People Advanced; Digital Fluency Advanced; Global Perspective Advanced; Influence Advanced; Learning Agility Advanced; Self Management Advanced; Transdisciplinary Thinking Advanced",
Associate Software Tester,"The Associate Software Tester is expected to analyze and execute defined test cases and scenarios against software builds to validate functionalities that are expected and identify problems and software defects or issues that have been observed. Under the guidance of more experienced quality assurance or test professionals, they perform testing to further their learning and progress in their analytical competencies. The Associate Software Tester collaborates with the team to develop efficient testing systems. They document and report major findings to senior members using quality tracking systems to diagnose root causes. They validate and compare expected test results with actual results. They are familiar with software testing tools and standards, as well as the relevant software platforms on which the solution is deployed. The Associate Software Testers interact with clients to understand software or product requirements to assist in test data preparation. They executes test scenarios including environment setup and test scripts. They are a strong team player, who communicates their ideas and gets along with others easily.",Agile Software Development Level 3; Applications Development Level 3; Applications Integration Level 2; Applications Support and Enhancement Level 1-2; Automation Management in Product Development Level 2; Business Environment Analysis Level 2; Business Needs Analysis Level 2; Configuration Tracking Level 1-2; Critical Thinking Level 3; Data Design Level 3; Emerging Technology Synthesis Level 3; Infrastructure Design Level 3; Learning and Development Level 4; Problem Management Level 2-3; Process Improvement and Optimisation Level 4; Quality Assurance Level 4; Quality Standards Level 4; Software Configuration Level 2; Software Design Level 3; Software Testing Level 2-3; System Integration Level 3; Systems Thinking Level 3; Test Planning Level 2-3; User Interface (UI) Design Level 2-3; User Testing and Usability Testing Level 3; Adaptability Intermediate; Building Inclusivity Intermediate; Collaboration Intermediate; Communication Intermediate; Creative Thinking Intermediate; Customer Orientation Intermediate; Digital Fluency Advanced; Learning Agility Intermediate; Problem Solving Advanced; Sense Making Intermediate; Transdisciplinary Thinking Intermediate,
Software Tester,"The Software Tester is expected to analyze functional requirements and technical specifications to develop optimal test scenarios that validate software quality, identify defects, and reduce risks. Combining exploratory testing with test automation across integration, system, regression, and user acceptance testing, they will design tests with an understanding of overall quality goals and use cases. Commonly, they review product requirements, personal use cases, and technical design documents. The Software Tester has familiarity and knowledge to perform various testing levels and testing methods such as unit testing, integration testing, system testing, and acceptance testing. This role is also expected to employ methodologies that are commonly employed in software testing, i.e., Grey box testing, Incremental Testing, Thread testing, etc. They prepare test data that covers edge cases, failure modes, and invalid inputs. The Software Tester works well with a team to develop efficient testing systems. This role has strong analytical skills to provide intelligent, risk-based testing coverage and can adapt test scripts to changing product requirements. The Software Testers meet with clients to understand software or product requirements to test data. They execute test scenarios including environment setup and test scripts. They analyze testing metrics and offers recommendations on improving development processes. They are proficient with software testing tools and standards, as well as the relevant software platforms on which the solution is deployed. They stay up-to-date with new technologies and testing strategies.",Agile Software Development Level 3-4; Applications Development Level 4; Applications Integration Level 3; Applications Support and Enhancement Level 3; Automation Management in Product Development Level 2-3; Business Environment Analysis Level 3; Business Needs Analysis Level 3; Configuration Tracking Level 3-4; Critical Thinking Level 4; Data Design Level 4; Emerging Technology Synthesis Level 4; Infrastructure Design Level 4; Learning and Development Level 4; Problem Management Level 3-4; Process Improvement and Optimisation Level 4; Project Management Level 3-4; Quality Assurance Level 5; Quality Standards Level 5; Software Configuration Level 3; Software Design Level 3; Software Testing Level 3-4; Stakeholder Management Level 3; System Integration Level 4; Systems Thinking Level 4; Test Planning Level 3-4; Collaboration Intermediate; Communication Intermediate; Digital Fluency Intermediate; Learning Agility Intermediate; Problem Solving Advanced; Self Management Intermediate,
Software Test Manager,"The Software Test Manager defines quality assurance strategies, heads testing teams, and assures overall software release readiness by validation against customer requirements. They combine technical knowledge with people management abilities in driving risk-based testing. The Software Test Manager oversees end-to-end testing activities, setting best practices and consistent processes for functional verification, configurations, security, localization, etc. They review product specifications documents and interface with stakeholders to map out critical test coverage areas both short and long-term. They monitor and track progress toward delivery commitments, balancing trade-offs around scope, time, and quality. They partner with development leads in evolving quality culture through automation, metrics analysis, and process optimization. In terms of management and operations, the Software Test Manager determines needed resources, the hiring of software testers and quality assurance talents, as well as nurtures technical and soft skills growth through mentoring and performance appraisals. Software test managers are leaders who can resolve interpersonal conflicts through constructive feedback and facilitating collaboration. They foster a sense of collective ownership and agility in addressing ever-changing validation needs.",Agile Software Development Level 4; Applications Development Level 4; Applications Integration Level 4; Applications Support and Enhancement Level 4; Automation Management in Product Development Level 3; Business Environment Analysis Level 4; Business Needs Analysis Level 4; Configuration Tracking Level 4; Critical Thinking Level 5; Cyber and Data Breach Incident Management Level 3; Cyber Risk Management Level 4; Data Design Level 4; Emerging Technology Synthesis Level 4; Infrastructure Design Level 5; Learning and Development Level 5; Problem Management Level 4; Process Improvement and Optimisation Level 5; Project Management Level 4; Quality Assurance Level 5; Quality Standards Level 6; Software Configuration Level 4; Software Design Level 4; Software Testing Level 4-5; Stakeholder Management Level 4; System Integration Level 4; Systems Thinking Level 4; Test Planning Level 4-5; User Interface (UI) Design Level 3; User Testing and Usability Testing Level 3; -Level 5 Collaboration Advanced; Communication Advanced; Developing People Advanced; Digital Fluency Advanced; Learning Agility Advanced; Problem Solving Advanced; Self Management Advanced,
Associate Business Analyst,"The Associate Business Analyst plays a key supporting role within the software development and cybersecurity organization, assisting senior Business Analysts in various aspects of business analysis. This role involves participation in customer discovery, requirements documentation, and business analysis activities while cultivating foundational knowledge and skills essential for becoming a proficient business analyst. They conduct research and gather data to support the development of business cases, specifications, and solution designs aligned with organizational goals. The Associate Business Analyst demonstrates an eagerness to learn from subject matter experts across different fields, contributing to the success of projects and initiatives.",Agile Coaching Level 4; Budgeting Level 3; Business Agility Level 4; Business Environment Analysis Level 2-3; Business Needs Analysis Level 2-3; Business Negotiation Level 3; Business Performance Management Level 3; Business Presentation Delivery Level 3; Business Requirements Mapping Level 3; Business Risk Management Level 3; Change Management Level 3; Contract Management Level 3; Critical Thinking Level 4; Customer Experience Management Level 2; Data Analytics Level 2; Data Visualisation Level 3; Demand Analysis Level 3; Design Concepts Generation Level 3; Design Thinking Practice Level 3; Emerging Technology Synthesis Level 3; Learning and Development Level 4; Market Research Level 3; Networking Level 1-2; Partnership Management Level 2; People and Performance Management Level 1-2; Portfolio Management Level 4; Product Management Level 3; Product Risk Assessment Level 4; Project Feasibility Assessment Level 4; Project Management Level 2-3; Stakeholder Management Level 2-3; Strategy Implementation Level 3; Strategy Planning Level 4; Systems Thinking Level 3; Adaptability Intermediate; Building Inclusivity Intermediate; Collaboration Intermediate; Communication Intermediate; Creative Thinking Intermediate; Customer Orientation Intermediate; Digital Fluency Advanced; Learning Agility Intermediate; Problem Solving Advanced; Sense Making Intermediate; Transdisciplinary Thinking Intermediate,
Business Analyst,"The Business Analyst serves as the voice of the customer while shaping solutions suited to market needs. They are the conduits between technology and business domains, they contextualize user or customer journeys to inform prioritized features and system behaviors. Leveraging exceptional analytical abilities coupled with intuitive emotional intelligence, they constantly consider market conditions, trends, and emerging use cases while assessing product-market fit. Empathetic yet data-driven, they balance qualitative insights with quantitative validation. They are curious about customer problems and how technology can provide solutions. Business Analysts have good communication skills. They are comfortable dealing with rapid change and ambiguity and can simplify complex concepts to make sound decisions using methodical and structured thinking. The customer perspectives are patiently relayed by the Business Analysts to the team to uplift their knowledge in order to understand the problems and facilitate the discovery of solutions.",Agile Coaching Level 4; Budgeting Level 3; Business Agility Level 4; Business Environment Analysis Level 2-3; Business Needs Analysis Level 2-3; Business Negotiation Level 3; Business Performance Management Level 3; Business Presentation Delivery Level 4; Business Requirements Mapping Level 3; Business Risk Management Level 3; Change Management Level 3; Contract Management Level 3; Critical Thinking Level 4-5; Customer Experience Management Level 3; Data Analytics Level 2; Data Visualisation Level 3; Demand Analysis Level 4; Design Concepts Generation Level 3; Design Thinking Practice Level 3; Emerging Technology Synthesis Level 3; Learning and Development Level 4; Market Research Level 4; Networking Level 1-2; Partnership Management Level 2; People and Performance Management Level 1-2; Portfolio Management Level 4; Product Management Level 3-4; Product Risk Assessment Level 4; Project Feasibility Assessment Level 4; Project Management Level 2-3; Stakeholder Management Level 2-3; Strategy Implementation Level 3; Strategy Planning Level 4; Systems Thinking Level 3-4; Adaptability Intermediate; Collaboration Intermediate; Communication Intermediate; Customer Orientation Intermediate; Decision Making Intermediate; Digital Fluency Intermediate; Influence Intermediate; Learning Agility Intermediate; Problem Solving Intermediate; Sense Making Intermediate; Transdisciplinary Thinking Intermediate,
